Provinsi,Lahan Hijau,Tahun
Aceh,2851978,2017
Sumatera Utara,1633889,2017
Sumatera Barat,1598610,2017
Riau,864663,2017
Jambi,865059,2017
Sumatera Selatan,1369064,2017
Bengkulu,713715,2017
Lampung,779645,2017
Kep. Bangka Belitung,200871,2017
Kepulauan Riau,109957.38,2017
DKI Jakarta,108317.1,2017
Jawa Barat,423486,2017
Jawa Tengah,210960,2017
D.I Yogyakarta,2968.24,2017
Jawa Timur,578374,2017
Banten,176817,2017
Bali,122059.65,2017
Nusa Tenggara Barat,609519,2017
Nusa Tenggara Timur,1205984,2017
Kalimantan Barat,3931920,2017
Kalimantan Tengah,2976894,2017
Kalimantan Selatan,739710,2017
Kalimantan Timur dan Kalimantan Utara,4552909,2017
Sulawesi Utara,476749,2017
Sulawesi Tengah,2264580,2017
Sulawesi Selatan,2083950,2017
Sulawesi Tenggara,2868573,2017
Gorontalo,401261,2017
Sulawesi Barat,667220,2017
Maluku,1056794,2017
Maluku Utara,802557,2017
Papua Barat,4271847,2017
Papua,15570567,2017
Indonesia,57091467.37,2017
Aceh,2851978,2018
Sumatera Utara,1633889,2018
Sumatera Barat,1598610,2018
Riau,864663,2018
Jambi,865059,2018
Sumatera Selatan,1369064,2018
Bengkulu,713715,2018
Lampung,779645,2018
Kep. Bangka Belitung,200871,2018
Kepulauan Riau,102097.38,2018
DKI Jakarta,108317.1,2018
Jawa Barat,423486,2018
Jawa Tengah,210960,2018
D.I Yogyakarta,2968.24,2018
Jawa Timur,578374,2018
Banten,176817,2018
Bali,122059.65,2018
Nusa Tenggara Barat,609519,2018
Nusa Tenggara Timur,1205984,2018
Kalimantan Barat,3931920,2018
Kalimantan Tengah,2976894,2018
Kalimantan Selatan,739710,2018
Kalimantan Timur dan Kalimantan Utara,4552909,2018
Sulawesi Utara,476749,2018
Sulawesi Tengah,2264580,2018
Sulawesi Selatan,2083950,2018
Sulawesi Tenggara,2868573,2018
Gorontalo,401261,2018
Sulawesi Barat,667220,2018
Maluku,1056794,2018
Maluku Utara,802557,2018
Papua Barat,4271847,2018
Papua,15570567,2018
Indonesia,57083607.37,2018
Aceh,2840042.32,2019
Sumatera Utara,1633889,2019
Sumatera Barat,1598610,2019
Riau,864663,2019
Jambi,865059,2019
Sumatera Selatan,1369064,2019
Bengkulu,713715,2019
Lampung,779645,2019
Kep. Bangka Belitung,200871,2019
Kepulauan Riau,102097.38,2019
DKI Jakarta,108317.1,2019
Jawa Barat,423486,2019
Jawa Tengah,210960,2019
D.I Yogyakarta,2968.24,2019
Jawa Timur,578374,2019
Banten,176817,2019
Bali,122059.65,2019
Nusa Tenggara Barat,609519,2019
Nusa Tenggara Timur,1205984,2019
Kalimantan Barat,3931920,2019
Kalimantan Tengah,2976894,2019
Kalimantan Selatan,739710,2019
Kalimantan Timur dan Kalimantan Utara,4552909,2019
Sulawesi Utara,476749,2019
Sulawesi Tengah,2264580,2019
Sulawesi Selatan,2000331,2019
Sulawesi Tenggara,2868573,2019
Gorontalo,401261,2019
Sulawesi Barat,667220,2019
Maluku,1056794,2019
Maluku Utara,802557,2019
Papua Barat,4271847,2019
Papua,15570567,2019
Indonesia,56988052.69,2019
Aceh,2840042.32,2020
Sumatera Utara,1633889,2020
Sumatera Barat,1598610,2020
Riau,864663,2020
Jambi,865059,2020
Sumatera Selatan,1369064,2020
Bengkulu,713715,2020
Lampung,779645,2020
Kep. Bangka Belitung,200871,2020
Kepulauan Riau,102097.38,2020
DKI Jakarta,108317.1,2020
Jawa Barat,423486,2020
Jawa Tengah,210960,2020
D.I Yogyakarta,2968.24,2020
Jawa Timur,578374,2020
Banten,176817,2020
Bali,122059.65,2020
Nusa Tenggara Barat,609519,2020
Nusa Tenggara Timur,1205984,2020
Kalimantan Barat,3931920,2020
Kalimantan Tengah,2976894,2020
Kalimantan Selatan,739710,2020
Kalimantan Timur dan Kalimantan Utara,4552909,2020
Sulawesi Utara,476749,2020
Sulawesi Tengah,2264580,2020
Sulawesi Selatan,2000331,2020
Sulawesi Tenggara,2868573,2020
Gorontalo,401261,2020
Sulawesi Barat,667220,2020
Maluku,1056794,2020
Maluku Utara,802557,2020
Papua Barat,4271847,2020
Papua,15570567,2020
Indonesia,56988052.69,2020
Aceh,2840042.32,2021
Sumatera Utara,1633889,2021
Sumatera Barat,1598610,2021
Riau,864663,2021
Jambi,865059,2021
Sumatera Selatan,1369034,2021
Bengkulu,713715,2021
Lampung,779645,2021
Kep. Bangka Belitung,200871,2021
Kepulauan Riau,102097.38,2021
DKI Jakarta,108317.1,2021
Jawa Barat,423486,2021
Jawa Tengah,210960,2021
D.I Yogyakarta,2968.24,2021
Jawa Timur,578374,2021
Banten,176817,2021
Bali,122059.65,2021
Nusa Tenggara Barat,609519,2021
Nusa Tenggara Timur,1205984,2021
Kalimantan Barat,3931893,2021
Kalimantan Tengah,2976894,2021
Kalimantan Selatan,739710,2021
Kalimantan Timur dan Kalimantan Utara,4552909,2021
Sulawesi Utara,476749,2021
Sulawesi Tengah,2244348,2021
Sulawesi Selatan,2000331,2021
Sulawesi Tenggara,2868573,2021
Gorontalo,401261,2021
Sulawesi Barat,667220,2021
Maluku,1056794,2021
Maluku Utara,802557,2021
Papua Barat,4271847,2021
Papua,15570567,2021
Indonesia,56967763.69,2021
