Provinsi,Rata_Suhu,Tahun
Aceh,27.05,2017
Sumatera Utara,27.42,2017
Sumatera Barat,25.32,2017
Riau,27.51,2017
Jambi,26.98,2017
Sumatera Selatan,27.53,2017
Bengkulu,26.86,2017
Lampung,26.91,2017
Kep. Bangka Belitung,27.04,2017
Kepulauan Riau,27.31,2017
DKI Jakarta,28.63,2017
Jawa Barat,23.33,2017
Jawa Tengah,28.09,2017
D.I Yogyakarta,26.06,2017
Jawa Timur,28.08,2017
Banten,27.2,2017
Bali,27.24,2017
Nusa Tenggara Barat,26.58,2017
Nusa Tenggara Timur,27.67,2017
Kalimantan Barat,26.93,2017
Kalimantan Tengah,27.48,2017
Kalimantan Selatan,27.12,2017
Kalimantan Timur,27.73,2017
Kalimantan Utara,27.41,2017
Sulawesi Utara,26.48,2017
Sulawesi Tengah,27.5,2017
Sulawesi Selatan,27.2,2017
Sulawesi Tenggara,27.34,2017
Gorontalo,27.24,2017
Sulawesi Barat,27.33,2017
Maluku,27.04,2017
Maluku Utara,27.08,2017
Papua Barat,27.51,2017
Papua,28.04,2017
Indonesia,27.12470588,2017
Aceh,28.78,2018
Sumatera Utara,28.57,2018
Sumatera Barat,26.91,2018
Riau,27.37,2018
Jambi,27.08,2018
Sumatera Selatan,29.25,2018
Bengkulu,28.58,2018
Lampung,27.07,2018
Kep. Bangka Belitung,28.49,2018
Kepulauan Riau,27.53,2018
DKI Jakarta,28.67,2018
Jawa Barat,26.35,2018
Jawa Tengah,29.5,2018
D.I Yogyakarta,27.68,2018
Jawa Timur,24.89,2018
Banten,29.75,2018
Bali,27.55,2018
Nusa Tenggara Barat,28.67,2018
Nusa Tenggara Timur,28.71,2018
Kalimantan Barat,28.64,2018
Kalimantan Tengah,27.3,2018
Kalimantan Selatan,28.75,2018
Kalimantan Timur,27.55,2018
Kalimantan Utara,27.5,2018
Sulawesi Utara,26.81,2018
Sulawesi Tengah,27.7,2018
Sulawesi Selatan,28.77,2018
Sulawesi Tenggara,27.24,2018
Gorontalo,27.35,2018
Sulawesi Barat,27.87,2018
Maluku,26.8,2018
Maluku Utara,27.59,2018
Papua Barat,27.16,2018
Papua,27.31,2018
Indonesia,27.52176471,2018
Aceh,26.92,2019
Sumatera Utara,27.41,2019
Sumatera Barat,25.61,2019
Riau,27.47,2019
Jambi,27.06,2019
Sumatera Selatan,27.83,2019
Bengkulu,26.87,2019
Lampung,27.2,2019
Kep. Bangka Belitung,26.63,2019
Kepulauan Riau,27.96,2019
DKI Jakarta,28.76,2019
Jawa Barat,26.31,2019
Jawa Tengah,28.48,2019
D.I Yogyakarta,25.94,2019
Jawa Timur,25.1,2019
Banten,30.04,2019
Bali,27.8,2019
Nusa Tenggara Barat,28.69,2019
Nusa Tenggara Timur,29.28,2019
Kalimantan Barat,28.93,2019
Kalimantan Tengah,27.28,2019
Kalimantan Selatan,29.36,2019
Kalimantan Timur,27.73,2019
Kalimantan Utara,27.94,2019
Sulawesi Utara,27.53,2019
Sulawesi Tengah,27.87,2019
Sulawesi Selatan,29.26,2019
Sulawesi Tenggara,27.11,2019
Gorontalo,27.49,2019
Sulawesi Barat,28.07,2019
Maluku,26.68,2019
Maluku Utara,27.7,2019
Papua Barat,27.21,2019
Papua,27.46,2019
Indonesia,27.61705882,2019
Aceh,28.8,2020
Sumatera Utara,28.9,2020
Sumatera Barat,27.6,2020
Riau,27.3,2020
Jambi,27.3,2020
Sumatera Selatan,29.1,2020
Bengkulu,29,2020
Lampung,27.1,2020
Kep. Bangka Belitung,28.4,2020
Kepulauan Riau,27.8,2020
DKI Jakarta,28.8,2020
Jawa Barat,26.4,2020
Jawa Tengah,29.5,2020
D.I Yogyakarta,28,2020
Jawa Timur,25.3,2020
Banten,29.5,2020
Bali,28.2,2020
Nusa Tenggara Barat,28.8,2020
Nusa Tenggara Timur,29.9,2020
Kalimantan Barat,28.9,2020
Kalimantan Tengah,27.5,2020
Kalimantan Selatan,28.6,2020
Kalimantan Timur,27.6,2020
Kalimantan Utara,27.8,2020
Sulawesi Utara,28.5,2020
Sulawesi Tengah,27.6,2020
Sulawesi Selatan,29,2020
Sulawesi Tenggara,27.3,2020
Gorontalo,27.3,2020
Sulawesi Barat,28.1,2020
Maluku,26.9,2020
Maluku Utara,27.7,2020
Papua Barat,27.4,2020
Papua,27.9,2020
Indonesia,28.05294118,2020
Aceh,28.6,2021
Sumatera Utara,28.9,2021
Sumatera Barat,27.3,2021
Riau,27,2021
Jambi,27.2,2021
Sumatera Selatan,29.1,2021
Bengkulu,28.7,2021
Lampung,27.1,2021
Kep. Bangka Belitung,28.2,2021
Kepulauan Riau,27.6,2021
DKI Jakarta,28.5,2021
Jawa Barat,26.2,2021
Jawa Tengah,29.2,2021
D.I Yogyakarta,27.8,2021
Jawa Timur,25.1,2021
Banten,29.3,2021
Bali,28,2021
Nusa Tenggara Barat,28.7,2021
Nusa Tenggara Timur,29.6,2021
Kalimantan Barat,28.9,2021
Kalimantan Tengah,27.3,2021
Kalimantan Selatan,28.2,2021
Kalimantan Timur,27.5,2021
Kalimantan Utara,27.4,2021
Sulawesi Utara,28.2,2021
Sulawesi Tengah,27.2,2021
Sulawesi Selatan,28.5,2021
Sulawesi Tenggara,27.1,2021
Gorontalo,27.1,2021
Sulawesi Barat,27.7,2021
Maluku,26.7,2021
Maluku Utara,27.4,2021
Papua Barat,27.1,2021
Papua,27.5,2021
Indonesia,27.82058824,2021
